Year,Serie,Value
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2010,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",20.10
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2011,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",16.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2012,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.70
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
2013,"Proporción de personas en riesgo de pobreza relativa, considerando el umbral nacional de pobreza",17.80
